stem,stem_genders
karmaPalahetu,mfn
karmaPalodaya,m
karmabanDa,m
karmabanDana,n
karmabanDana,mfn
karmabAhulya,n
karmabIja,n
karmabudDi,f
karmaBU,f
karmaBUmi,f
karmaBUya,n
karmaBedavicAra,m
karmamaya,mfn
karmamArga,m
karmamAsa,m
karmamImAMsA,f
karmamUla,n
karmayuga,n
karmayoga,m
karmayoni,f
karmara,m
karmaraka,m
karmaraNga,m
karmaratnAvalI,f
karmarI,f
karmarGa,m
karmalocana,n
karmavacana,n
karmavajra,mfn
karmavat,mfn
karmavaSa,m
karmavaSa,mfn
karmavaSitA,mfn
karmavAwI,f
karmavAda,m
karmaviGna,m
karmaviDi,m
karmaviparyaya,m
karmavipAka,m
karmavipAkasaMgraha,m
karmavipAkasAra,m
karmaviroDin,mfn
karmaviSeza,m
karmavyatihAra,m
karmaSa,m
karmaSataka,n
karmaSalya,n
karmaSAlA,f
karmaSAlI,f
karmaSIla,mfn
karmaSIla,m
karmaSUra,m
karmaSUra,mfn
karmaSOca,n
karmaSrezWa,m
karmasa,m
karmasaMgraha,m
karmasaMnyAsika,mfn
karmasaMBava,mfn
karmasaMvatsara,m
karmasaNga,m
karmasaNgin,mfn
karmasaciva,m
karmasamApta,mfn
karmasAkzin,m
karmasADaka,mfn
karmasADana,n
karmasAraTi,m
karmasidDi,f
karmasUtra,n
karmasena,m
karmasenIya,mfn
karmastava,m
karmasTa,mfn
karmasTAna,n
karmasvaka,mfn
karmahasta,mfn
karmahIna,m
karmahetu,mfn
karmAkzama,mfn
karmANga,n
karmAjIva,m
karmAtman,mfn
karmAditya,m
karmADikAra,m
karmADyakza,m
karmAnubanDa,m
karmAnubanDin,mfn
karmAnurUpa,mfn
karmAnuzWAna,n
karmAnuzWAyin,mfn
karmAnusAra,m
karmAnta,m
karmAntara,n
karmAntika,mfn
karmAntika,m
karmAntikaloka,m
karmABiDAyaka,mfn
karmABiDAyin,mfn
karmAByAsa,m
karmAra,m
karmAraka,m
karmAramBa,m
karmAravana,n
karmArha,mfn
karmArha,m
karmAvadAna,n
karmASaya,m
karmASritaBakta,m
karmika,mfn
karmin,mfn
karmin,m
karmizWa,mfn
karmIRa,mfn
karmendriya,n
karmodAra,n
karmodyukta,mfn
karmodyoga,m
karmopakaraRa,mfn
karva,m
karvawa,n
karvawa,m
karvawaka,n
karvawI,f
karvara,mfn
karvara,m
karvara,n
karvarI,f
karviRI,f
karSana,mfn
karSana,n
karSanIya,mfn
karSaPa,m
karSita,mfn
karSya,m
karza,m
karza,mn
karzaka,mfn
karzaRa,mfn
karzaRi,f
karzaRI,f
karzaRIya,mfn
karzaRIya,n
karzaPala,m
karzaPalA,f
karzArDa,n
karzi,mfn
karziRI,f
karzita,mfn
karzin,mfn
karzin,m
karzU,f
karzU,m
karzUSaya,mfn
karzUsveda,m
kala,mfn
kala,m
kala,n
kalaMkaza,m
kalaMkura,m
kalaka,m
kalaka,n
kalakaRWa,m
kalakaRWikA,f
kalakaRWin,m
kalakaRWI,f
kalakala,m
kalakalarava,m
kalakalavat,mfn
kalakalArava,m
kalakaleSvaratIrTa,n
kalakIwa,m
kalakUjikA,f
kalakUwa,m
kalakURikA,f
kalaGoza,m
kalaNka,m
kalaNkakara,mfn
kalaNkakalA,f
kalaNkamaya,mfn
kalaNkaleKA,f
kalaNkahft,m
kalaNkANka,m
kalaNkita,mfn
kalaNkin,mfn
kalaNkeSa,m
kalaca,m
kalacuri,m
kalacUri,m
kalaja,m
kalaYja,m
kalaYja,n
kalawa,n
kalata,mfn
kalatA,f
kalatUlikA,f
kalatra,n
kalatratA,f
kalatravat,mfn
kalatrin,mfn
kalatva,n
kalaDUta,n
kalaDOta,n
kalaDOta,mn
kalaDOta,mfn
kalaDOtamaya,mfn
kalaDOtalipi,f
kalaDvani,m
kalana,mfn
kalana,m
kalana,n
kalanA,f
kalanATa,m
kalanAda,m
kalandaka,m
kalandana,m
kalandara,m
kalandikA,f
kalanDu,m
kalapralApa,mfn
kalaBa,m
kalaBaka,m
kalaBava,m
kalaBavallaBa,m
kalaBAzaRa,n
kalaBAzin,mfn
kalaBI,f
kalaBErava,m
kalama,m
kalamakedAra,m
kalamagopavaDU,f
kalamagopI,f
kalamasTAna,n
kalamUka,mfn
kalamottama,m
kalamOdana,n
kalamba,m
kalamba,n
kalambaka,m
kalambikA,f
kalambI,f
kalambukA,f
kalambuwa,n
kalambU,f
kalamBi,m
kalarava,m
kalala,n
kalalaja,m
kalalajodBava,m
kalavacas,mfn
kalavikarRI,f
kalavikala,m
kalavikalavaDa,m
kalaviNka,m
kalaviNkasvara,m
kalaviNkasvara,mfn
kalavyAGra,m
kalaSa,m
kalaSajanman,m
kalaSadir,mfn
kalaSapura,n
kalaSapotaka,m
kalaSaBU,m
kalaSayoni,m
kalaSi,f
kalaSI,f
kalaSIkaRWa,m
kalaSIpadI,f
kalaSImuKa,m
kalaSIsuta,m
kalaSodara,m
kalaSodarI,f
kalaSodBava,m
kalasvana,mfn
kalasvara,n
kalaha,m
kalahaMsa,m
kalahaMsaka,m
kalahaMsagAminI,f
kalahaMsI,f
kalahakandala,m
kalahakAra,mfn
kalahakArikA,f
kalahakArin,mfn
kalahanASana,m
kalahapriya,mfn
kalahapriyA,f
kalahavat,mfn
kalahA,f
kalahAkulA,f
kalahANkura,m
kalahAntaritA,f
kalahApahfta,mfn
kalahin,mfn
kalahu,m
kalA,f
kalAMSa,m
kalAMSarUpiRI,f
kalAkanda,n
kalAkula,n
kalAkuSala,mfn
kalAkeli,m
kalAkeli,mfn
kalANkura,m
kalAcika,m
kalAcikA,f
kalAcI,f
kalAjAjI,f
kalAjYa,mfn
kalAjYa,m
kalAwIna,m
kalARqI,f
kalAtman,f
kalAda,m
kalAdIkzA,f
kalADara,mfn
kalADara,m
kalADika,m
kalAnaka,m
kalAnATa,m
kalAniDi,m
kalAnunAdin,m
kalAntara,n
kalAnyAsa,m
kalApa,m
kalApaka,m
kalApaka,n
kalApaKaYja,m
kalApagrAma,m
kalApacCanda,m
kalApatattvArRava,m
kalApadvIpa,m
kalApavarman,m
kalApaSiras,m
kalApi,m
kalApin,mfn
kalApin,m
kalApinI,f
kalApI,f
kalApUra,fn
kalApUrRa,mfn
kalApUrRa,m
kalAbAhya,n
kalABara,m
kalABft,m
kalAmaka,m
kalAmbi,f
kalAmbikA,f
kalAya,m
kalAyaKaYja,m
kalAyana,m
kalAyasUpa,m
kalAyA,f
kalArUpa,n
kalArUpA,f
kalArUpiRI,f
kalArRava,m
kalAlApa,m
kalAvat,m
kalAvatI,f
kalAvAda,n
kalAvika,m
kalAvikala,m
kalAvid,mfn
kalAvid,m
kalAvidvas,m
kalAviDi,m
kalAviDitantra,n
kalAviroDa,m
kalAvilAsa,m
kalASAstra,n
kalASuri,m
kalASlAGya,m
kalAsAra,n
kalAhaka,m
kali,m
kali,f
kalika,m
kalikA,f
kalikAtA,f
kalikApUrva,n
kalikAra,m
kalikAraka,m
kalikArikA,f
kalikArI,f
kalikAla,m
kalikuYcikA,f
kalikft,mfn
kaliNga,m
kaliNga,n
kaliNga,mfn
kaliNgaka,m
kaliNgakA,f
kaliNgabIja,n
kaliNgayava,m
kaliNgasenA,f
kaliNgA,f
kalicCandas,n
kaliYja,m
kaliYja,n
kaliYjara,m
kalita,mfn
kalitakusuma,mfn
kalidru,m
kalidruma,m
kaliDarmanirRaya,m
kaliDarmasArasaMgraha,m
kalinATa,m
kalinI,f
kalinda,m
kalindakanyA,f
kalindajA,f
kalindatanayA,f
kalindanandinI,f
kalindaSElajAtA,f
kalindasutA,f
kalindA,f
kalindAtmajA,f
kalindikA,f
kalindI,f
kaliprada,m
kalipriya,mfn
kalipriya,m
kalimAraka,m
kalimAlaka,m
kalimAlya,m
kaliyuga,n
kalila,mfn
kalila,n
kalivarjya,mfn
kalivinASinI,f
kalivizRuvarDana,m
kalivfkza,m
kaliSatru,m
kaliSAsana,m
kalisaMtaraRa,n
kalisaMSraya,m
kalistoma,m
kalihArI,f
kalukka,m
kalukkA,f
kaluza,mfn
kaluza,m
kaluza,n
kaluzacetas,mfn
kaluzatA,f
kaluzatva,n
kaluzamaYjarI,f
kaluzamati,mfn
kaluzayoni,f
kaluzayonija,mfn
kaluzA,f
kaluzAtman,mfn
kaluzita,mfn
kaluzin,mfn
kalevara,mn
kalevara,m
kalevarapuz,m
kalottAla,mfn
kalka,m
kalka,mfn
kalkana,n
kalkaPala,m
kalkala,m
kalkAlaya,m
kalki,m
kalkidvAdaSIvrata,n
kalkin,mfn
kalkin,m
kalkipurARa,n
kalkuzI,f
kalpa,mfn
kalpa,m
kalpa,n
kalpaka,mfn
kalpaka,m
kalpakataru,m
kalpakAra,m
kalpakeqAra,m
kalpakzaya,m
kalpagA,f
kalpacintAmaRi,m
kalpatantra,n
kalpataru,m
kalpataruparimala,m
kalpatarurasa,m
kalpatA,f
kalpadUzya,n
kalpadru,m
kalpadrukalikA,f
kalpadruma,m
kalpadrumakalikA,f
kalpadrumatantra,n
kalpadrumatA,f
kalpadrumAvadAna,n
kalpadvIpa,m
kalpaDenu,f
kalpana,n
kalpanaviDi,m
kalpanA,f
kalpanATa,m
kalpanASakti,f
kalpanI,f
kalpanIya,mfn
kalpanftya,n
kalpapAdapa,m
kalpapAla,m
kalpapAla,mf
kalpapradIpa,m
kalpapradIpikA,f
kalpaBava,m
kalpamahIruh,m
kalpamahIruha,m
kalpamAtra,m
kalpayitavya,mfn
kalpayukti,f
kalpalatA,f
kalpalatAtantra,n
kalpalatAprakASa,m
kalpalatAvatAra,m
kalpalatikA,f
kalpavawa,n
kalpavarza,m
kalpavallI,f
kalpavAyu,m
kalpaviwapin,m
kalpaviDi,m
kalpavivaraRa,n
kalpavfkza,m
kalpavfkzalatA,f
kalpavrata,n
kalpaSAKin,m
kalpasidDAnta,m
kalpasUtra,n
kalpasUtravyAKyA,f
kalpasTAna,n
kalpAgni,m
kalpANka,m
kalpAtIta,m
kalpAtyaya,m
kalpAdi,m
kalpADikArin,m
kalpAnupada,n
kalpAnta,m
kalpAntara,n
kalpAntavAsin,mfn
kalpAntasTAyin,mfn
kalpika,mfn
kalpita,mfn
kalpita,m
kalpitatva,n
kalpitA,f
kalpitopamA,f
kalpin,mfn
kalpuza,mfn
kalpetara,mfn
kalpotTAyin,mfn
kalpopanizad,f
kalpya,mfn
kalman,n
kalmali,m
kalmalIka,n
kalmalIkin,mfn
kalmaza,n
kalmaza,mfn
kalmaza,mn
kalmazaDvaMsa,m
kalmazaDvaMsakArin,mfn
kalmAza,mfn
kalmAza,m
kalmAza,n
kalmAzakaRWa,m
kalmAzagrIva,mfn
kalmAzatantura,m
kalmAzatA,f
kalmAzapAda,mfn
kalmAzapAda,m
kalmAzapAdacarita,n
kalmAzapucCa,mfn
kalmAzANGri,m
kalmAzABiBava,n
kalmAzita,mfn
kalmAzI,f
kalya,mfn
kalya,n
kalyacitta,mfn
kalyajagDi,f
kalyatA,f
kalyatva,n
kalyapAla,mf
kalyapAlaka,mf
kalyavarta,m
kalyavarta,n
kalyA,f
kalyARa,mfn
kalyARa,m
kalyARa,n
kalyARaka,mfn
kalyARakaguqa,m
kalyARakaGfta,n
kalyARakawaka,m
kalyARakara,mfn
kalyARakalavaRa,n
kalyARakAra,mfn
kalyARakAraka,mfn
kalyARakAraka,m
kalyARakIrti,mfn
kalyARakft,mfn
kalyARagiri,m
kalyARacandra,m
kalyARacAra,mfn
kalyARatara,mfn
kalyARadevI,f
kalyARaDarman,mfn
kalyARapaYcakapUjA,f
kalyARapaYcamIka,mfn
kalyARapucCa,mfn
kalyARapura,n
kalyARabIja,m
kalyARaBawwa,m
kalyARamandira,n
kalyARamandirawIkA,f
kalyARamandirastotra,n
kalyARamaya,mfn
kalyARamalla,m
kalyARamitra,n
kalyARamitratA,f
kalyARamitrasevana,n
kalyARarAjacaritra,n
kalyARarAya,m
kalyARalakzaRa,mfn
kalyARavacana,n
kalyARavat,mfn
kalyARavatI,f
kalyARavartman,m
kalyARavartman,f
kalyARavarDana,m
kalyARavarman,m
kalyARavIja,m
kalyARavftta,mfn
kalyARaSarman,m
kalyARasattva,mfn
kalyARasaptamI,f
kalyARasaptamIvrata,n
kalyARasUtra,m
kalyARasena,m
kalyARasvAmikeSava,n
kalyARAcAra,mfn
kalyARABijana,mfn
kalyARABiniveSin,mfn
kalyARikA,f
kalyARin,mfn
kalyARinI,f
kalyARI,f
kalyARIdaSama,mfn
kalyARIpaYcama,mfn
kalyARIpaYcamA,f
kalyARIpaYcamIka,mfn
kalyARIpriya,mfn
kalyARIstotra,n
kalyARyAdi,m
kalyotTAyin,mfn
kalla,mfn
kallawa,m
kallatA,f
kallatva,n
kallamUka,mfn
kallavIratantra,n
kallAwa,m
kallArya,m
kallAleSa,m
kallinATa,m
kallola,m
kallola,mfn
kallolajAtaka,n
kallolita,mfn
kallolinI,f
kalhaRa,m
kalhoqIgaNgeSvaratIrTa,n
kava,mfn
kava,m
kavaka,n
kavaca,mn
kavaca,m
kavaca,n
kavacaDara,mfn
kavacapattra,n
kavacapASa,m
kavacaSiva,m
kavacahara,mfn
kavacahara,m
kavacita,mfn
kavacin,mfn
kavacin,m
kavawa,m
kavawI,f
kavaqa,m
kavat,mfn
kavatnu,mfn
kavana,m
kavana,n
kavantaka,m
kavapaTa,m
kavayitf,m
kavayI,f
kavara,mfn
kavara,m
kavara,mf
kavara,n
kavarakI,f
kavarapucCa,mfn
kavaraBAra,m
kavarA,f
kavarI,f
kavarIBara,m
kavarIBAra,m
kavarIBft,mfn
kavarga,m
kavala,m
kavalagraha,m
kavalagrAha,m
kavalatA,f
kavalana,mfn
kavalana,n
kavalaprasTa,m
kavalikA,f
kavalita,mfn
kavalya,mfn
kavaz,mfn
kavaza,mfn
kavaza,m
kavazin,m
kavasa,m
kavAgni,m
kavAwa,mfn
kavAwaGna,m
kavAwavakra,n
kavAtiryaYc,mfn
kavAra,m
kavAra,n
kavAri,mfn
kavAsaKa,mfn
kavi,mfn
kavi,m
kavi,f
kavika,n
kavikaRWahAra,m
kavikaRWABaraRa,n
kavikamalasadman,m
kavikarRapUrRa,m
kavikarpawI,f
kavikalpadruma,m
kavikalpalatA,f
kavikA,f
kavikratu,mfn
kavikrama,m
kavicakravartin,m
kavicandra,m
kavicCad,mfn
kavijanavinoda,m
kavijyezWa,m
kaviwa,m
kavitama,mfn
kavitara,mfn
kavitA,f
kavitAmftakUpa,m
kavitAratnAkara,m
kavitArahasya,n
kavitArkikasiMha,m
kavitAvali,f
kavitAvedin,mfn
kavitASakti,f
kavitva,n
kavitvana,n
kavitvaratnAkara,m
kavidarpaRa,m
kaviputra,m
kavipraSasta,mfn
kavipriyA,f
kaviBawwa,m
kaviBUma,m
kaviBUzaRa,m
kavimaRqana,m
kaviya,mn
kaviratnapuruzottamamiSra,m
kaviraTa,m
kavirahasya,n
kavirAja,m
kavirAjakOtuka,m
kavirAjaBikzu,m
kavirAjayati,m
kavirAjavasuMDara,m
kavirAmAyaRa,m
kavilASikA,f
kavilAsikA,f
kavivallaBa,m
kavivfDa,mfn
kavivfzan,m
kaviSasta,mfn
kaviSikzA,m
kavIndu,m
kavIndra,m
kavIndrakarRABaraRa,n
kavIndrakalpataru,m
kavIya,mn
kavIyat,mfn
kavIyamAna,mfn
kavIyas,mfn
kavISvara,m
kavUla,n
kaverakanyA,f
kavela,n
kavozRa,mfn
kavozRa,n
kavozRatA,f
kavya,mfn
kavya,n
kavyat,mfn
kavyatA,f
kavyaBuj,m
kavyaBojana,m
kavyavah,mfn
kavyavAqa,mfn
kavyavAla,mfn
kavyavAhana,mfn
kavyavAhana,m
kavyahavyaBuj,m
kaSa,m
kaSakftsna,m
kaSaplaka,m
kaSambUka,m
kaSas,n
kaSA,f
kaSAGAta,m
kaSAtraya,n
kaSAnipAta,m
kaSApAta,m
kaSAya,m
kaSAri,f
kaSArha,mfn
kaSAvat,mfn
kaSikA,f
kaSipu,mn
kaSipu,m
kaSipUpabarhaRa,n
kaSIkA,f
kaSu,m
kaSeraka,m
kaSeru,n
kaSeru,fn
kaSeru,m
kaSeru,f
kaSeruka,fn
kaSeruka,mfn
kaSerumat,m
kaSeruyajYa,m
kaSerus,n
kaSerUmat,m
kaSoka,m
kaSojU,m
kaSmala,mfn
kaSmala,n
kaSmala,mn
kaSmalacetas,mfn
kaSmalamaya,mfn
kaSmaSa,mn
kaSmIra,m
kaSmIrajanman,n
kaSya,mfn
kaSya,n
kaSyata,m
kaSyapa,mfn
kaSyapa,m
kaSyapagrIva,n
kaSyapatuNga,m
kaSyapadvIpa,m
kaSyapanandana,m
kaSyapapucCa,n
kaSyapaBAskara,m
kaSyapavrata,n
kaSyapasaMhitA,f
kaSyapasUnujyezWa,m
kaSyapasmfti,f
kaSyapA,f
kaSyapApatya,n
kaSyapeSvara,n
kaSyapeSvaratIrTa,n
kaSyapottarasaMhitA,f
kaza,mfn
kaza,m
kazaka,m
kazaRa,mfn
kazaRa,n
kazanmuKa,m
kazapawwikA,f
kazapAzARa,m
kazA,f
kazAkaza,m
kazAku,m
kazAGAta,m
kazAputra,m
kazAya,mfn
kazAya,mn
kazAya,m
kazAya,n
kazAyaka,m
kazAyakft,m
kazAyacitra,mfn
kazAyatA,f
kazAyadanta,m
kazAyadaSana,m
kazAyapARa,m
kazAyapAda,m
kazAyayAvanAla,m
kazAyavaktratA,f
kazAyavasana,n
kazAyavastra,n
kazAyavAsas,n
kazAyavAsika,m
kazAyA,f
kazAyAnvita,mfn
kazAyita,mfn
kazAyin,mfn
kazAyin,m
kazAyIkfta,mfn
kazAyIkftalocana,mfn
kazAyIBUta,mfn
kazi,mfn
kazita,mfn
kazIkA,f
kazerukA,f
kazotka,m
kazkaza,m
kazwa,mfn
kazwa,m
kazwa,n
kazwakara,mfn
kazwakAraka,mfn
kazwakAraka,m
kazwaguggula,m
kazwatapas,m
kazwatara,mfn
kazwatara,n
kazwatA,f
kazwatva,n
kazwaBAgineya,m
kazwamAtula,m
kazwalaBya,mfn
kazwaSrita,mfn
kazwasADya,mfn
kazwasTAna,n
kazwAgata,mfn
kazwADika,mfn
kazwArTa,mfn
kazwArTatva,n
kazwi,f
kazPila,m
kasa,mfn
kasa,m
kasana,m
kasanA,f
kasanotpAwana,m
kasarRIra,m
kasarRIla,m
kasA,f
kasAmbu,n
kasAra,n
kasAras,m
kasipu,m
kasIya,n
kasetu,m
kastamBI,f
kastIra,n
kastUri,m
kastUrikA,f
kastUrikAkuraNga,m
kastUrikAmada,m
kastUrikAmfga,m
kastUrikAmfgI,f
kastUrikERI,f
kastUrI,f
kastUrImallikA,f
kastUrImfga,m
kasPila,m
kasvara,mfn
kahaya,m
kahika,m
kahUya,m
kahUza,m
kahoqa,m
kahola,m
kahola,n
kahlAra,n
kahva,m
kAMdama,m
kAMdigBUta,mfn
kAMdiS,mfn
kAMdiSIka,mfn
kAMSi,m
kAMsa,mfn
kAMsikA,f
kAMsya,mfn
kAMsya,n
kAMsyaka,n
kAMsyaka,mfn
kAMsyakAra,mf
kAMsyakoSI,f
kAMsyaGana,m
kAMsyaja,mfn
kAMsyatAla,m
kAMsyadoha,mfn
kAMsyadohana,mfn
kAMsyanIla,mfn
kAMsyanIla,n
kAMsyanIlI,f
kAMsyapAtra,n
kAMsyapAtrI,f
kAMsyamakzika,n
kAMsyamaya,mfn
kAMsyamala,n
kAMsyABa,mfn
kAMsyopadoha,mfn
kAMsyopadohana,mfn
kAka,m
kAka,n
kAkakaNgu,f
kAkakaNgunI,f
kAkakadalI,f
kAkakarkawI,f
kAkakalA,f
kAkakAyani,m
kAkakAzWa,n
kAkakulAyaganDika,mfn
kAkakUrmamfgAKu,m
kAkakUrmAdi,m
kAkaKara,m
kAkaguha,mfn
kAkaGnI,f
kAkacaRqISvara,m
kAkacaRqeSvarI,f
kAkaciYcA,f
kAkaciYci,f
kAkaciYcika,m
kAkaciYcI,f
kAkacCada,m
kAkacCadi,m
kAkacCardi,m
kAkajaNGA,f
kAkajambU,f
kAkajAta,m
kAkaRa,n
kAkaRaka,n
kAkaRantikA,f
kAkaRAhvA,f
kAkaRi,f
kAkaRI,f
kAkatA,f
kAkatAlIya,mfn
kAkatAlIya,n
kAkatAlukin,mfn
kAkati,f
kAkatiktA,f
kAkatindu,m
kAkatinduka,m
kAkatIya,mfn
kAkatIya,m
kAkatIyarudra,m
kAkatuRqa,m
kAkatuRqaka,m
kAkatuRqikA,f
kAkatuRqI,f
kAkatulya,mfn
kAkatva,n
kAkadanta,m
kAkadantaki,m
kAkadantakIya,m
kAkadantavicAra,m
kAkadanti,m
kAkadantIya,m
kAkaDvaja,m
kAkanantI,f
kAkanAman,m
kAkanAsa,m
kAkanAsA,f
kAkanAsikA,f
kAkani,f
kAkanidrA,f
kAkanI,f
kAkanIlA,f
kAkandaka,mfn
kAkandi,m
kAkandI,f
kAkandIya,m
kAkapakza,m
kAkapakzaka,mfn
kAkapakzaDara,mfn
kAkapada,n
kAkapada,m
kAkaparRI,f
kAkapIlu,m
kAkapIluka,m
kAkapuzwa,m
kAkapuzpa,m
kAkapeya,mfn
kAkaPala,m
kAkaPalA,f
kAkabali,m
kAkabIjaka,m
kAkaBARqI,f
kAkaBIru,m
kAkamadgu,m
kAkamarda,m
kAkamardaka,m
kAkamAcikA,f
kAkamAcI,f
kAkamAtA,f
kAkamArin,m
kAkamuKa,m
kAkamudgA,f
kAkamfga,m
kAkamfgagocarita,mfn
kAkamezI,f
kAkambIra,m
kAkayava,m
kAkarakta,n
kAkaranti,m
kAkarantIya,m
kAkarava,mfn
kAkaruka,mfn
kAkaruka,m
kAkarudrasaMvAda,m
kAkaruhA,f
kAkala,mn
kAkala,m
kAkalaka,n
kAkali,f
kAkalikA,f
kAkalI,f
kAkalIdrAkzA,f
kAkalIrava,m
kAkavaktra,m
kAkavaktrI,f
kAkavanDyA,f
kAkavarRa,m
kAkavarRin,m
kAkavartaka,m
kAkavallaBA,f
kAkavallarI,f
kAkavASika,mfn
kAkavErin,m
kAkavyAGragomAyu,m
kAkaSabda,m
kAkaSAva,m
kAkaSimbI,f
kAkaSIrza,m
kAkaSIrzi,m
kAkaSekikin,mfn
kAkasampAta,m
kAkastrI,f
kAkasparSa,m
kAkasPUrja,m
kAkasvara,m
kAkahradatIrTa,n
kAkA,f
kAkAkft,mfn
kAkAkzi,n
kAkANgA,f
kAkANgI,f
kAkAYcI,f
kAkARqa,m
kAkARqaka,m
kAkARqakA,f
kAkARqA,f
kAkARqI,f
kAkARqolA,f
kAkAtanI,f
kAkAdanI,f
kAkAyu,m
kAkAra,mfn
kAkAri,m
kAkAla,m
kAkAsyA,f
kAkAhvAnA,f
kAki,m
kAkiRi,m
kAkiRika,mfn
kAkiRikA,f
kAkiRI,f
kAkiRIka,mfn
kAkinI,f
kAkila,m
kAkI,f
kAku,f
kAkutsTa,m
kAkutsTO,m
kAkud,f
kAkuda,n
kAkudAkzika,m
kAkudIka,n
kAkudra,mfn
kAkuBa,mfn
kAkuBa,m
kAkuBabArhata,m
kAkulImfga,m
kAkuvakrokti,f
kAkuvAc,f
kAkuvAc,m
kAkekzu,m
kAkecI,f
kAkendu,m
kAkezwa,m
kAkezwaPalA,f
kAkesaparvata,m
kAkocika,m
kAkocin,m
kAkocI,f
kAkocCvAsa,mfn
kAkoqumbara,mf
kAkoqumbarikA,f
kAkodara,m
kAkodumbara,m
kAkola,m
kAkola,mn
kAkola,n
kAkoli,f
kAkolI,f
kAkolUka,n
kAkolUkikA,f
kAkolUkIya,n
kAkozWaka,mfn
kAkOzWaka,mfn
kAkza,mfn
kAkza,mn
kAkza,m
kAkza,n
kAkzatava,mfn
kAkzatava,n
kAkzaseni,m
kAkzi,m
kAkzI,f
kAkzIva,m
kAkzIvaka,m
kAkzIvata,mfn
kAkzIvata,m
kAkzIvata,n
kAkzIvatI,f
kAKatIra,mfn
kAga,m
kAgada,n
kAgni,m
kANkata,m
kANkAyana,m
kANkzaRIya,mfn
kANkzat,mfn
kANkzamARa,mfn
kANkzA,f
kANkzita,mfn
kANkzita,n
kANkzin,mfn
kANkzintA,f
kANkzI,f
kANkzoru,m
kANgA,f
kANguka,n
kAca,m
kAca,n
kAca,mfn
kAcaka,m
kAcakAmala,n
kAcakAmalin,mfn
kAcakUpI,f
kAcaGawI,f
kAcatilaka,n
kAcana,n
kAcanaka,n
kAcanakin,m
kAcabakayantra,n
kAcaBAjana,n
kAcamaRi,m
kAcamala,n
kAcamAcI,f
kAcamAlI,f
kAcamAza,m
kAcara,mfn
kAcalavaRa,n
kAcasamBava,n
kAcasOvarcala,n
kAcasTAlI,f
kAcAkza,m
kAciGa,m
kAcita,mfn
kAcitkara,mfn
kAcima,m
kAcCa,mfn
kAcCaka,mfn
kAcCaka,f
kAcCapa,mfn
kAcCika,mfn
kAcCima,mfn
kAcCI,f
kAja,n
kAjala,n
kAjala,mfn
kAYcana,n
kAYcana,mfn
kAYcana,m
kAYcanaka,mfn
kAYcanaka,m
kAYcanaka,n
kAYcanakadalI,f
kAYcanakandara,m
kAYcanakA,f
kAYcanakAnti,mfn
kAYcanakAriRI,f
kAYcanakzIrI,f
kAYcanagiri,m
kAYcanagErika,n
kAYcanacaya,m
kAYcanadaMzwra,m
kAYcanapura,n
kAYcanapurI,f
kAYcanapuzpaka,n
kAYcanapuzpI,f
kAYcanapraBa,mfn
kAYcanapraBa,m
kAYcanapraBA,f
kAYcanaBU,f
kAYcanaBUzA,f
kAYcanamaya,mfn
kAYcanamAlA,f
kAYcanaruci,mfn
kAYcanavapra,m
kAYcanavarman,m
kAYcanavega,m
kAYcanaSfNga,n
kAYcanaSfNgin,mfn
kAYcanasaMDi,m
kAYcanasaMniBa,mfn
kAYcanAkza,m
kAYcanAkzI,f
kAYcanANga,mfn
kAYcanANgadin,mfn
kAYcanAcala,m
kAYcanAcArya,m
kAYcanAdri,m
kAYcanABA,f
kAYcanABiDAnasaMDi,m
kAYcanAra,m
kAYcanAraka,m
kAYcanAla,m
kAYcanAhva,mfn
kAYcanAhva,n
kAYcanikA,f
kAYcanI,f
kAYcanIya,mfn
kAYcanIyA,f
kAYcanezuDi,m
kAYci,m
kAYci,f
kAYcika,n
kAYcipurI,f
kAYcI,f
kAYcIkalApa,m
kAYcIkzetra,n
kAYcIguRasTAna,n
kAYcInagara,n
kAYcIpada,n
kAYcIpura,n
kAYcIpuraka,mfn
kAYcIpurI,f
kAYcIprasTa,m
kAYcIyamaka,n
kAYcukin,mfn
kAYcukIya,m
kAYjika,n
kAYjikapUjA,f
kAYjikavawaka,m
kAYjikA,f
kAYjI,f
kAYjIka,n
kAwa,m
kAwayavema,m
kAwava,n
kAwAkza,mn
kAwipya,mfn
kAwuka,n
kAwya,mfn
kAWa,mfn
kAWa,m
kAWaka,mfn
kAWaka,n
kAWakagfhyasUtra,n
kAWakopanizad,f
kAWaSAWin,m
kAWina,n
kAWina,m
kAWinya,n
kAWinyaPala,n
kAWeraRi,m
kAWeraRIya,mfn
kARa,mfn
kARa,m
kARatva,n
kARadeva,m
kARaBuja,mfn
kARaBuja,m
kARaBUti,m
kARAda,mfn
kARAda,m
kARikera,m
kARuka,mfn
kARUka,m
kAReya,m
kAReyaviDa,n
kARera,m
kAReri,m
kARerin,m
kARelImAtf,m
kARelIsuta,m
kARwaka,mfn
kARwakamardanika,mfn
kARwakAra,mfn
kARWevidDi,m
kARWevidDI,f
kARWevidDyA,f
kARqa,mn
kARqa,m
kARqafzi,m
kARqakawu,m
kARqakawuka,m
kARqakaRwa,m
kARqakARqaka,m
kARqakAra,m
kARqakIlaka,m
kARqaguRqa,m
kARqagocara,m
kARqatikta,m
kARqatiktaka,m
kARqaDAra,m
kARqaDAra,mfn
kARqanAman,n
