prefixed_root,unprefixed_root,hom
valayIBU,BU,
vaSIkf,kf,
vaSIBU,BU,
vahanIkf,kf,
vahnisAtkf,kf,
vAjIkf,kf,
vAntIkf,kf,
vAmIkf,kf,
vAlavyajanIBU,BU,
vAhanIkf,kf,
vAhanIBU,BU,
vikacIkf,kf,
vikawIkf,kf,
vikatT,katT,
vikamp,kamp,
vikalIkf,kf,
vikas,kas,
vikANkz,kANkz,
vikAS,kAS,
vikUj,kUj,
vikf,kf,1
vikft,kft,2
vikfz,kfz,
vikF,kF,
vikxp,kxp,
vikram,kram,
vikrI,krI,
vikrIq,krIq,
vikruS,kruS,
viklav,klav,
viklavIkf,kf,
viklavIBU,BU,
vikzar,kzar,
vikzi,kzi,4
vikzip,kzip,
vikzuD,kzuD,
vikzuB,kzuB,
viKan,Kan,
viKid,Kid,
viKyA,KyA,
vigaR,gaR,
vigam,gam,
vigarj,garj,
vigarh,garh,
vigal,gal,
vigAh,gAh,
viguRIkf,kf,
vigE,gE,
vigraT,graT,1
vigrah,grah,
viGaw,Gaw,
viGaww,Gaww,
viGUrR,GUrR,
viGrA,GrA,
vicakz,cakz,
vicaw,caw,
vicar,car,
vical,cal,
vici,ci,1
vici,ci,2
vicit,cit,4
vicint,cint,
vicumb,cumb,
vicUrR,cUrR,
vicUrRIBU,BU,
vicft,cft,
vicezw,cezw,
vicCad,Cad,
vicCad,Cad,
vicCAyIkf,kf,
vicCid,Cid,
vicCo,Co,
vijan,jan,
viji,ji,
vijIv,jIv,
vijfmB,jfmB,
vijYA,jYA,
viqamb,qamb,
vitakz,takz,
vitaq,taq,
vitatIkf,kf,
vitaTIkf,kf,
vitan,tan,
vitap,tap,
vitark,tark,
vitAnIkf,kf,
vitAnIBU,BU,
vitud,tud,
vituzIkf,kf,
vitfd,tfd,
vitfp,tfp,
vitfz,tfz,
vitF,tF,
vitras,tras,
vitruq,truq,
vidaMS,daMS,
viday,day,
vidal,dal,
vidas,das,
vidah,dah,
vidA,dA,
vidA,dA,
vidAS,dAS,
vidiv,div,
vidIp,dIp,
vidu,du,
viduz,duz,
viduh,duh,
vidUrIBU,BU,
vidfS,dfS,
vidF,dF,
vidyut,dyut,
vidru,dru,
vidruh,druh,
vidrE,drE,
vidviz,dviz,
viDanIkf,kf,
viDam,Dam,
viDA,DA,
viDAv,DAv,
viDU,DU,
viDUp,DUp,
viDf,Df,
viDmA,DmA,
viDvaMs,DvaMs,
viDvas,Dvas,
vinad,nad,
vinand,nand,
vinam,nam,
vinaya,nI,
vinard,nard,
vinaS,naS,
vinaS,naS,
viniHSvas,Svas,
viniHsf,sf,
vinikf,kf,
vinikft,kft,
vinikz,nikz,
vinikzip,kzip,
vinigad,gad,
viniguh,guh,
vinid,nid,
viniDA,DA,
viniDf,Df,
viniDvaMs,DvaMs,
viniDvas,Dvas,
vinind,nind,
vinipat,pat,
viniyam,yam,
viniyuj,yuj,
vinirgam,gam,
vinirji,ji,
vinirRI,nI,
vinirdah,dah,
vinirdiS,diS,
vinirmuc,muc,
viniryA,yA,
vinirliK,liK,
vinirvam,vam,
vinirhf,hf,
vinivft,vft,
viniScar,car,
viniSvas,Svas,
vinizad,sad,
vinizkram,kram,
vinizwan,stan,
vinizWiv,zWiv,
vinizpaw,paw,
vinizpat,pat,
vinizpiz,piz,
vinizpIq,pIq,
vinihan,han,
vinihnu,hnu,
vinI,nI,
vinu,nu,
vinud,nud,
vinft,nft,
vinyas,as,
vipakzIkf,kf,
vipac,pac,
vipaYcaya,paYcaya,
vipaw,paw,
vipaW,paW,
vipaR,paR,
vipat,pat,
vipad,pad,
viparikram,kram,
viparigA,gA,
vipariRam,nam,
viparidru,dru,
vipariDA,DA,
vipariDAv,DAv,
viparipat,pat,
viparivft,vft,
viparihf,hf,
viparI,i,
vipare,i,
viparyas,as,
viparyAvft,vft,
viparyUh,Uh,
vipalyay,ay,
vipaS,paS,
vipA,pA,
vipiS,piS,
vipulIkf,kf,
vipU,pU,
vipfc,pfc,
vipfzWIBU,BU,
viprakf,kf,
viprakfz,kfz,
vipraC,praC,
vipraRaS,naS,
vipraRI,nI,
vipratikf,kf,
vipratipad,pad,
vipratiBA,BA,
vipraT,praT,
vipraduh,duh,
vipradru,dru,
vipraDAv,DAv,
vipramuc,muc,
viprayuj,yuj,
vipralap,lap,
vipralaB,laB,
vipralup,lup,
vipraluB,luB,
vipravad,vad,
vipravas,vas,
vipravraj,vraj,
viprasAtkf,kf,
viprasf,sf,
viprasfp,sfp,
viprasTA,sTA,
viprahA,hA,
vipru,pru,
vipre,i,
viprekz,Ikz,
viplu,plu,
viPalIkf,kf,
viPalIBU,BU,
vibanD,banD,
vibAD,bAD,
vibuD,buD,
vibfh,bfh,
vibfh,bfh,
vibrU,brU,
viBaj,Baj,
viBaYj,BaYj,
viBA,BA,
viBAgIkf,kf,
viBAz,BAz,
viBAs,BAs,
viBid,Bid,
viBinnIkf,kf,
viBI,BI,
viBU,BU,
viBUz,BUz,
viBf,Bf,
viBraMS,BraMS,
viBram,Bram,
viBrAj,BrAj,
vimaMh,maMh,
vimajj,majj,
vimaT,maT,
vimad,mad,
vimadIkf,kf,
viman,man,
vimanT,manT,
vimA,mA,3
vimAnIkf,kf,
vimi,mi,
vimiSr,miSr,
vimuKIkf,kf,
vimuKIBU,BU,
vimuc,muc,
vimuh,muh,
vimfj,mfj,
vimfd,mfd,
vimfS,mfS,
vimfz,mfz,
vime,me,
vimokz,mokz,
vimrit,mrit,
vimlE,mlE,
viyat,yat,
viyam,yam,
viyA,yA,
viyu,yu,
viyuj,yuj,
virakz,rakz,
virac,rac,
virajIkf,kf,
virajIBU,BU,
viraYj,raYj,
viraTIkf,kf,
viraTIBU,BU,
virad,rad,
virapS,rapS,
viram,ram,
viralIkf,kf,
viras,ras,1
virasIkf,kf,
virasIBU,BU,
virah,rah,
virahIkf,kf,
virAj,rAj,
virAD,rAD,
viru,ru,
viruc,ruc,
viruj,ruj,1
virud,rud,
viruD,ruD,2
viruz,ruz,
viruh,ruh,
vilakz,lakz,
vilakzIkf,kf,
vilag,lag,
vilaNG,laNG,
vilajj,lajj,
vilap,lap,
vilaB,laB,
vilamb,lamb,
vilas,las,
viliK,liK,
vilip,lip,
viliS,liS,
vilih,lih,
vilI,lI,
viluYc,luYc,
viluW,luW,2
viluRW,luRW,
vilup,lup,
vivac,vac,
vivad,vad,
vivarR,varR,
vivarD,varD,
vival,val,
vivalg,valg,
vivas,vas,2
vivas,vas,4
vivas,vas,5
vivah,vah,
vivA,vA,
vivAc,vac,
vivic,vic,
vivip,vip,
viviS,viS,
vivf,vf,1
vivft,vft,
vivfD,vfD,
vive,ve,
viven,ven,
vivell,vell,
vivyaD,vyaD,
vivraSc,vraSc,
viSaMs,SaMs,
viSaNk,SaNk,
viSadIkf,kf,
viSas,Sas,
viSAs,SAs,
viSiYj,SiYj,
viSiz,Siz,
viSI,SI,
viSuD,SuD,
viSuB,SuB,
viSuz,Suz,1
viSfD,SfD,
viSezaRIkf,kf,
viSraT,SraT,
viSram,Sram,
viSramB,SramB,
viSri,Sri,
viSrIkf,kf,
viSru,Sru,1
viSliz,Sliz,
viSvas,Svas,
viSvi,Svi,
viSvit,Svit,
vizaYj,saYj,
vizad,sad,
vizamIkf,kf,
vizamIBU,BU,
vizayIkf,kf,
vizayIBU,BU,
vizah,sah,
vizic,sic,
viziv,siv,
vizu,su,
vizU,sU,
vizev,sev,
vizo,so,
vizkamB,skamB,
vizkumB,skumB,
vizwan,stan,
vizwamB,stamB,
vizwu,stu,
vizwuB,stuB,
vizWA,sTA,
vizpf,spf,
vizyand,syand,
vizvaYj,svaYj,
vizvan,svan,
visaMvad,vad,
visiD,siD,1
visUtr,sUtr,
visf,sf,
visfj,sfj,
visfp,sfp,
vistan,stan,
vistf,stf,
vispand,spand,
visparD,sparD,
vispazwIkf,kf,
visPAy,sPAy,
visPuw,sPuw,
visPur,sPur,
visPul,sPul,
visPuliNga,BU,
visPUrj,sPUrj,
vismi,smi,
vismf,smf,
visraMs,sraMs,
visru,sru,
visvan,svan,
visvap,svap,
vihan,han,
vihary,hary,
vihas,has,
vihA,hA,1
vihA,hA,3
vihiMs,hiMs,
vihurC,hurC,
vihf,hf,
viheW,heW,
vihel,hel,
vihnu,hnu,
vihru,hru,
vihval,hval,
vihve,hve,
vI,i,
vIkz,Ikz,
vINK,INK,
vIn,in,
vIps,Ap,
vIr,Ir,
vIz,Iz,
vIz,iz,
vErIBU,BU,
vyaMs,aMs,
vyaktIkf,kf,
vyaktIBU,BU,
vyakz,akz,
vyaNgIkf,kf,
vyaNgulIkf,kf,
vyac,ac,
vyaj,aj,
vyajanIkf,kf,
vyajanIBU,BU,
vyaYc,aYc,
vyaYj,aYj,
vyatikram,kram,
vyatigam,gam,
vyatigA,gA,
vyaticar,car,
vyatijalp,jalp,
vyatiji,ji,
vyatitan,tan,
vyatitF,tF,
vyatinI,nI,
vyatipaW,paW,
vyatiBA,BA,
vyatiBU,BU,
vyatiyA,yA,
vyatiyu,yu,
vyatirA,rA,
vyatiruh,ruh,
vyatilU,lU,
vyativah,vah,
vyativft,vft,
vyativraj,vraj,
vyatiSI,SI,
vyatiSF,SF,
vyatizaYj,sanj,
vyatisaMdah,dah,
vyatisfp,sfp,
vyatihan,han,
vyatihas,has,
vyatihiMs,hiMs,
vyatihf,hf,
vyatI,i,
vyatyas,as,
vyatyUh,Uh,
vyad,ad,
vyan,an,
vyanuDA,DA,
vyanusf,sf,
vyantIkf,kf,
vyanvAraB,raB,
vyapakfz,kfz,
vyapakram,kram,
vyapagam,gam,
vyapatrap,trap,
vyapadiS,diS,
vyapanI,nI,
vyapanud,nud,
vyapamuc,muc,
vyapayA,yA,
vyapavft,vft,
vyapasf,sf,
vyapasfj,sfj,
vyapasfp,sfp,
vyapasPur,sPur,
vyapahan,han,
vyapahf,hf,
vyapAnud,nud,
vyapASri,Sri,
vyapAhf,hf,
vyape,i,
vyapekz,Ikz,
vyapoh,Uh,
vyaBicar,car,
vyayIkf,kf,
vyarTIkf,kf,
vyarTIBU,BU,
vyard,ard,
vyavakfz,kfz,
vyavakF,kF,
vyavagam,gam,
vyavagAh,gAh,
vyavacCid,Cid,
vyavadru,dru,
vyavaDA,DA,
vyavaDAv,DAv,
vyavaDU,DU,
vyavaDf,Df,
vyavapad,pad,
vyavaBakz,Bakz,
vyavaruh,ruh,
vyavalI,lI,
vyavavad,vad,
vyavavid,vid,
vyavavlI,vlI,
vyavaScut,Scut,
vyavasad,sad,
vyavasfj,sfj,
vyavasfp,sfp,
vyavaso,so,
vyavastuB,stuB,
vyavasTA,sTA,
vyavasraMs,sraMs,
vyavasru,sru,
vyavahf,hf,
vyave,i,
vyaS,aS,
vyaS,aS,
vyas,as,2
vyasanIkf,kf,
vyAkulIkf,kf,
vyAkulIBU,BU,
vyAkf,kf,
vyAkfz,kfz,
vyAkoSIkf,kf,
vyAkruS,kruS,
vyAkzip,kzip,
vyAKyA,KyA,
vyAGUrR,GUrR,
vyAGrA,GrA,
vyAcakz,cakz,
vyAjIkf,kf,
vyAjfmB,jfmB,
vyAtan,tan,
vyAdA,dA,
vyAdiS,diS,
vyADU,DU,
vyAnam,nam,
vyAnamrIkf,kf,
vyAnI,nI,
vyAp,Ap,
vyApad,pad,
vyApf,pf,
vyAbAD,bAD,
vyABAz,BAz,
vyAmuc,muc,
vyAmuh,muh,
vyAyam,yam,
vyAlamb,lamb,
vyAliK,liK,
vyAlup,lup,
vyAvalg,valg,
vyAviS,viS,
vyAvf,vf,
vyAvf,vf,
vyAvft,vft,
vyAvyaD,vyaD,
vyAsaYj,saYj,
vyAsic,sic,
vyAsiD,siD,
vyAsf,sf,
vyAhan,han,
vyAhf,hf,
vyAhve,hve,
vyu,u,
vyukz,ukz,
vyuccar,car,
vyucCid,Cid,
vyutkram,kram,
vyutTA,sTA,
vyutpad,pad,
vyutsad,sad,
vyutsic,sic,
vyutsfj,sfj,
vyutsfp,sfp,
vyud,ud,
vyudas,as,
vyudUh,Uh,
vyudDf,hf,
vyupanI,nI,
vyupayuj,yuj,
vyuparam,ram,
vyupaviS,viS,
vyupaSam,Sam,
vyupAram,ram,
vyupAs,as,
vyupe,i,
vyubj,ubj,
vyUrRu,UrRu,
vyUh,Uh,
vyUh,Uh,
vyUhIkf,kf,
vyf,f,
vyfC,fC,
vyfz,fz,
vyfz,fz,
SakalAkf,kf,
SakalIkf,kf,
SakalIBU,BU,
SataguRIBU,BU,
SataBaNgIBU,BU,
SabarIBU,BU,
SambAkf,kf,
SayanIkf,kf,
SaraRIkf,kf,
SarIkf,kf,
SarIrIBU,BU,
SaSIBU,BU,
SAkarasIkf,kf,
SAlInIkf,kf,
SiTilIkf,kf,
SiTilIBU,BU,
SilIBU,BU,
SiSirIkf,kf,
SiSirIBU,BU,
SizyIkf,kf,
SItalIkf,kf,
SItalIBU,BU,
SItIkf,kf,
SItIBU,BU,
SItkf,kf,
SIrRIkf,kf,
SukIBU,BU,
SukrIBU,BU,
SuklIkf,kf,
SuklIBU,BU,
SucIkf,kf,
SucIBU,BU,
SuBIkf,kf,
SuBrIBU,BU,
SUdrIBU,BU,
SUnyIkf,kf,
SUnyIBU,BU,
SUrIkf,kf,
SUlAkf,kf,
SeKarIkf,kf,
SeKarIBU,BU,
SezIBU,BU,
SoRIkf,kf,
SyAmalIkf,kf,
SyAmIkf,kf,
SyAmIBU,BU,
SyetIkf,kf,
Sratkf,kf,
SradDA,DA,
SrotriyasAtkf,kf,
SlakzRIkf,kf,
SlaTIkf,kf,
saMkaT,kaT,
saMkamp,kamp,
saMkarIkf,kf,
saMkal,kal,2
saMkal,kal,3
saMkAS,kAS,
saMkIrt,kIrt,
saMkuc,kuc,
saMkuYc,kuYc,
saMkup,kup,1
saMkf,kf,1
saMkfz,kfz,
saMkF,kF,
saMkFt,kIrt,
saMkxp,kxp,
saMketIkf,kf,
saMkram,kram,
saMkramIkf,kf,
saMkrI,krI,
saMkrIq,krIq,
saMkruD,kruD,
saMkruS,kruS,
saMkliS,kliS,
saMkzap,kzap,1
saMkzar,kzar,
saMkzi,kzi,2
saMkzi,kzi,4
saMkzip,kzip,
saMkzud,kzud,
saMkzRu,kzRu,
saMKAd,KAd,
saMKid,Kid,
saMKyA,KyA,
saMgam,gam,
saMgarj,garj,
saMgA,gA,
saMgAh,gAh,
saMgfBAya,grah,
saMgF,gF,1
saMgF,gF,2
saMgE,gE,
saMgraB,grah,
saMgraB,graB,
saMgras,gras,
saMgrah,grah,
saMgrAm,grAm,
saMGaw,Gaw,
saMGaww,Gaww,
saMGIBU,BU,
saMGfz,Gfz,
saMcakz,cakz,
saMcar,car,
saMcal,cal,
saMci,ci,1
saMcit,cit,4
saMcint,cint,
saMcUrR,cUrR,
saMcft,cft,
saMcezw,cezw,
saMCid,Cid,
saMjan,jan,
saMjap,jap,
saMjalp,jalp,
saMji,ji,
saMjIv,jIv,
saMjUrv,jUrv,
saMjfmB,jfmB,
saMjF,jF,1
saMjF,jF,2
saMjYA,jYA,
saMjYopasarjanIBU,BU,
saMjvar,jvar,
saMjval,jval,
saMtakz,takz,
saMtaq,taq,
saMtan,tan,
saMtap,tap,
saMtam,tam,
saMtark,tark,
saMtud,tud,
saMtul,tul,
saMtuz,tuz,
saMtfd,tfd,
saMtfp,tfp,
saMtF,tF,
saMtyaj,tyaj,
saMtras,tras,
saMtvar,tvar,
saMdaMS,daMS,
saMdas,das,
saMdah,dah,
saMdA,dA,
saMdA,dA,
saMdA,dA,
saMdiS,diS,
saMdih,dih,
saMdIp,dIp,
saMduz,duz,
saMduh,duh,
saMdfS,dfS,
saMdru,dru,
saMDanv,Danv,
saMDaya,DA,
saMDA,DA,
saMDAv,DAv,
saMDAv,DAv,2
saMDukz,Dukz,
saMDU,DU,
saMDf,Df,
saMDyE,DyE,
saMnad,nad,
saMnam,nam,
saMnard,nard,
saMnas,nas,
saMnah,nah,
saMnikzip,kzip,
saMnigam,gam,
saMnigrah,grah,
saMniGfz,Gfz,
saMniDA,DA,
saMnipat,pat,
saMnibuD,buD,
saMnimajj,majj,
saMnimantr,mantr,
saMnimIl,mIl,
saMniyam,yam,
saMniyuj,yuj,
saMniruD,ruD,
saMnirgam,gam,
saMnirvap,vap,
saMnilI,lI,
saMnivap,vap,
saMnivas,vas,
saMnivas,vas,
saMniviS,viS,
saMnivft,vft,
saMnizad,sad,
saMnizic,sic,
saMnihan,han,
saMnI,nI,
saMnu,nu,
saMnu,nu,
saMnud,nud,
saMnft,nft,
saMnyas,as,
saMyaj,yaj,
saMyat,yat,
saMyam,yam,
saMyas,yas,
saMyA,yA,
saMyAc,yAc,
saMyu,yu,2
saMyuj,yuj,
saMyuD,yuD,
saMrakz,rakz,
saMraYj,raYj,
saMraB,raB,
saMram,ram,
saMrAj,rAj,
saMrI,rI,
saMru,ru,
saMruc,ruc,
saMruj,ruj,
saMruD,ruD,2
saMruh,ruh,
saMrej,rej,
saMlakz,lakz,
saMlaNG,laNG,
saMlajj,lajj,
saMlap,lap,
saMlaB,laB,
saMliK,liK,
saMlih,lih,
saMlI,lI,
saMlup,lup,
saMluB,luB,
saMlok,lok,
saMvaMh,baMh,
saMvac,vac,
saMvaYc,vaYc,
saMvad,vad,
saMvand,vand,
saMvap,vap,2
saMvarR,varR,
saMvalg,valg,
saMvas,vas,4
saMvas,vas,5
saMvah,vah,
saMvA,vA,2
saMvAYC,vAYC,
saMvicint,cint,
saMvij,vij,
saMvijYA,jYA,
saMvitark,tark,
saMvid,vid,1
saMvid,vid,2
saMviDA,DA,
saMvip,vep,
saMviBaj,Baj,
saMviBA,BA,
saMviBAgIkf,kf,
saMvirAj,rAj,
saMvivfD,vfD,
saMviS,viS,
saMvisfj,sfj,
saMvihas,has,
saMvihf,hf,
saMvihval,hval,
saMvIkz,Ikz,
saMvf,vf,
saMvf,vf,
saMvfj,vfj,
saMvft,vft,
saMvfD,vfD,
saMvfz,vfz,
saMve,ve,
saMvep,vep,
saMvezw,vezw,
saMvyac,vyac,
saMvyaT,vyaT,
saMvyaD,vyaD,
saMvye,vye,
saMvraj,vraj,
saMvraSc,vraSc,
saMSaMs,SaMs,
saMSak,Sak,
saMSaNk,SaNk,
saMSap,Sap,
saMSam,Sam,1
saMSAs,SAs,
saMSiYj,SiYj,
saMSI,SI,
saMSuc,Suc,
saMSuD,SuD,
saMSuB,SuB,
saMSuz,Suz,1
saMSF,SF,
saMSo,So,
saMSyE,SyE,
saMSri,Sri,
saMSrI,SrI,
saMSru,Sru,1
saMSlAG,SlAG,
saMSliz,Sliz,
saMSlok,Slok,
saMsaMyu,yu,2
saMsac,sac,
saMsaYj,saYj,
saMsad,sad,
saMsan,san,
saMsah,sah,
saMsic,sic,
saMsiD,siD,3
saMsiv,siv,
saMsu,su,3
saMsU,sU,
saMsUc,sUc,
saMsf,sf,
saMsfj,sfj,
saMsfp,sfp,
saMsev,sev,
saMskand,skand,
saMskf,kf,1
saMstamB,stamB,
saMstu,stu,1
saMstf,stf,
saMstF,stF,
saMsTA,sTA,
saMspand,spand,
saMsparD,sparD,
saMspfS,spfS,
saMspfh,spfh,
saMsPur,sPur,
saMsmi,smi,
saMsmf,smf,
saMsyand,syand,
saMsru,sru,
saMsvaYj,svaYj,
saMsvf,svf,
saMhan,han,
saMhA,hA,1
saMhA,hA,2
saMhi,hi,
saMhu,hu,
saMhf,hf,
saMhfz,hfz,
saMhrAd,hrAd,
saMhve,hve,
sakalIkf,kf,
sakalIviDA,DA,
sajjIkf,kf,
sajjIBU,BU,
sajyIkf,kf,
satkf,kf,
sattrIBU,BU,
satyAkf,kf,
sanATIkf,kf,
sapattrAkf,kf,
sapiRqIkf,kf,
saPalIkf,kf,
saPalIBU,BU,
samakakzA,tul,
samacCedIkf,kf,
samaj,aj,
samaYj,aYj,
samat,at,
samatikram,kram,
samatipraSaMs,SaMs,
samatiyA,yA,
samativft,vft,
samatI,i,
samad,ad,
samaDigam,gam,
samaDiruh,ruh,
samaDiSri,Sri,
samaDizWA,sTA,
samaDisfp,sfp,
samaDI,i,
samaDyAs,As,
saman,an,
samanukamp,kamp,
samanugam,gam,
samanugE,gE,
samanugrah,grah,
samanucint,cint,
samanujan,jan,
samanujYA,jYA,
samanudiS,diS,
samanudru,dru,
samanuDAv,DAv,
samanuDyE,DyE,
samanupad,pad,
samanupaS,paS,
samanupAl,pAl,
samanupraC,praC,
samanuprAp,Ap,
samanuBU,BU,
samanuman,man,
samanuyA,yA,
samanuvas,vas,
samanuvIkz,Ikz,
samanuvft,vft,
samanuvraj,vraj,
samanuSAs,SAs,
samanuSuc,Suc,
samanusfp,sfp,
samanusmf,smf,
samanusvf,svf,
samanvAraB,raB,
samanvAruh,ruh,
samanvi,i,
samanviz,iz,
samanviz,iz,
samapacCid,Cid,
samapaDyE,DyE,
samapAvf,vf,
samapiruh,ruh,
samapoh,Uh,
samaBigam,gam,
samaBigarj,garj,
samaBiguh,guh,
samaBijan,jan,
samaBitarj,tarj,
samaBityaj,tyaj,
samaBidru,dru,
samaBiDAv,DAv,
samaBiDyE,DyE,
samaBinand,nand,
samaBipat,pat,
samaBipad,pad,
samaBipAl,pAl,
samaBipIq,pIq,
samaBipUj,pUj,
samaBiprekz,Ikz,
samaBiplu,plu,
samaBiBAz,BAz,
samaBiyA,yA,
samaBiyAc,yAc,
samaBiraYj,raYj,
samaBiruh,ruh,
samaBilaz,laz,
samaBivAYC,vAYC,
samaBivIkz,Ikz,
samaBivft,vft,
samaBivfD,vfD,
samaBivfz,vfz,
samaBivyAhf,hf,
samaBiSuB,SuB,
samaBizic,sic,
samaBizwu,stu,
samaBizWA,sTA,
samaBizyand,syand,
samaBisaMDA,DA,
samaBisf,sf,
samaBihf,hf,
samaBI,i,
samaByatikram,kram,
samaByarc,arc,
samaByarT,arT,
samaByavagA,gA,
samaByave,i,
samaByas,as,
samaByAgam,gam,
samaByAgA,gA,
samaByAdA,dA,1
samaByAnI,nI,
samaByutTA,sTA,
samaByudDf,hf,
samaByupe,i,
samaBye,i,
samam,am,
samayAkf,kf,
samayIkf,kf,
samarc,arc,
samarT,arT,
samalaMkf,kf,
samalIkf,kf,
samav,av,
samavakF,kF,
samavakzip,kzip,
samavagam,gam,
samavaguh,guh,
samavacCad,Cad,
samavadiS,diS,
samavado,do,
samavadru,dru,
samavaDA,DA,
samavanI,nI,
samavapIq,pIq,
samavabuD,buD,
samavamfS,mfS,
samavaruD,ruD,
samavalamb,lamb,
samavalI,lI,
samavalok,lok,
samavasf,sf,
samavasfj,sfj,
samavaso,so,
samavAp,Ap,
samavArj,fj,
samave,i,
samavekz,Ikz,
samaveza,kf,
samaS,aS,
samaS,aS,
samas,as,
samas,as,
samAkarR,karR,
samAkANkz,kANkz,
samAkf,kf,
samAkfz,kfz,
samAkF,kF,
samAkrand,krand,
samAkram,kram,
samAkrIq,krIq,
samAkzip,kzip,
samAKyA,KyA,
samAgam,gam,
samAGrA,GrA,
samAcakz,cakz,
samAcar,car,
samAci,ci,1
samAcCad,Cad,
samAcCid,Cid,
samAtan,tan,
samAdA,dA,
samAdiS,diS,
samAdru,dru,
samADA,DA,
samADAv,DAv,
samADmA,DmA,
samADyE,DyE,
samAnI,nI,
samAp,Ap,
samApat,pat,
samApad,pad,
samApA,pA,
samApU,pU,
samApyE,pyE,
samAplu,plu,
samABA,BA,
samABAz,BAz,
samABuj,Buj,
samABf,Bf,
samAmantr,mantr,
samAmnA,mnA,
samAyam,yam,
samAyA,yA,
samAyu,yu,
samAyuj,yuj,
samAraB,raB,
samArAD,rAD,
samAruh,ruh,
samAlap,lap,
samAlaB,laB,
samAlamb,lamb,
samAliK,liK,
samAliNg,liNg,
samAlip,lip,
samAlok,lok,
samAloc,loc,
samAvad,vad,
samAvap,vap,
samAvas,vas,5
samAvah,vah,
samAviS,viS,
samAvf,vf,
samAvfj,vfj,
samAvft,vft,
samAve,ve,
samAvyaD,vyaD,
samAvraj,vraj,
samASaMs,SaMs,
samASri,Sri,
samASru,Sru,
samASliz,Sliz,
samASvas,Svas,
samAs,As,
samAsaYj,saYj,
samAsad,sad,
samAsic,sic,
samAsfj,sfj,
samAsev,sev,
samAskand,skand,
samAstf,stf,
samAsTA,sTA,
samAhan,han,
samAhf,hf,
samAhve,hve,
sami,i,
saminD,inD,
saminv,inv,
samIkf,kf,
samIkz,Ikz,
samIj,Ij,
samIpIkf,kf,
samIpIBU,BU,
samIBU,BU,
samIz,Iz,
samIh,Ih,
samukz,ukz,
samuc,uc,
samuccar,car,
samuccal,cal,
samucci,ci,
samucCad,Cad,
samucCal,Sal,
samucCid,Cid,
samucCuz,Suz,
samucCri,Sri,
samucCvas,Svas,
samujjfmB,jfmB,
samujjval,jval,
samujJ,ujJ,
samutkfz,kfz,
samutkram,kram,
samutkzip,kzip,
samutKan,Kan,
samuttF,tF,
samutTA,sTA,
samutpaw,paw,
samutpat,pat,
samutpad,pad,
samutplu,plu,
samutsah,sah,
samutsfj,sfj,
samutsfp,sfp,
samud,ud,
samudaYc,aYc,
samudAgam,gam,
samudAcar,car,
samudAvah,vah,
samudAhf,hf,
samudi,i,
samudIkz,Ikz,
samudIz,Iz,
samudgam,gam,
samudguYj,guYj,
samudgrah,grah,
samudGfz,Gfz,
samuddiS,diS,
samuddyut,dyut,
samuddru,dru,
samudDA,hA,
samudDU,DU,
samudDf,hf,
samudDfz,hfz,
samudbfh,bfh,
samudBU,BU,
samudyam,yam,
samudyA,yA,
samudvah,vah,
samudvij,vij,
samudvIkz,Ikz,
samunnad,nad,
samunnam,nam,
samunnah,nah,
samunnI,nI,
samunmajj,majj,
samunmiz,miz,
samunmIl,mIl,
samunmUl,mUl,
samunmfj,mfj,
samupakfz,kfz,
samupakxp,kxp,
samupakram,kram,
samupagam,gam,
samupaguh,guh,
samupaGrA,GrA,
samupaci,ci,
samupajan,jan,
samupajYA,jYA,
samupadiS,diS,
samupadru,dru,
samupaDA,DA,
samupaDAv,DAv,
samupanI,nI,
samupanyas,as,
samupapad,pad,
samupaBuj,Buj,
samupayA,yA,
samupayuj,yuj,
samuparuj,ruj,
samuparuD,ruD,
samupalakz,lakz,
samupalaB,laB,
samupavas,vas,
samupavah,vah,
samupaviS,viS,
samupavft,vft,
samupaSam,Sam,
samupaSru,Sru,
samupasaMhf,hf,
samupasad,sad,
samupasf,sf,
samupasfp,sfp,
samupasev,sev,
samupasTA,sTA,
samupaspfS,spfS,
samupahf,hf,
samupahve,hve,
samupAkf,kf,
samupAgam,gam,
samupAcar,car,
samupAdA,dA,
samupAnI,nI,
samupAyA,yA,
samupAruh,ruh,
samupArj,arj,
samupAviS,viS,
samupAS,aS,
samupAs,As,
samupAsTA,sTA,
samupAhf,hf,
samupe,i,
samupekz,Ikz,
samupoz,uz,
samubj,ubj,
samuB,uB,
samullaNG,laNG,
samullas,las,
samulliK,liK,
samullup,lup,
samuz,uz,
samUh,Uh,
samf,f,
samfdDIkf,kf,
samfD,fD,
samfz,fz,1
same,i,
samej,ej,
sameD,eD,
samer,Ir,
sampaW,paW,
sampat,pat,
sampad,pad,
samparikIrt,kIrt,
samparikram,kram,
sampariKyA,KyA,
samparigrah,grah,
samparicar,car,
samparituz,tuz,
samparityaj,tyaj,
sampariplu,plu,
sampariBU,BU,
samparimud,mud,
samparirakz,rakz,
sampariraB,raB,
samparivf,vf,1
samparivft,vft,
sampariSri,Sri,
samparizvaYj,svaYj,
samparihf,hf,
samparI,i,
sampaS,paS,
sampA,pA,1
sampAl,pAl,
sampiRq,piRq,
sampiz,piz,
sampIq,pIq,
sampuwIkf,kf,
sampuz,puz,
sampU,pU,
sampfc,pfc,
samprakamp,kamp,
samprakAS,kAS,
samprakf,kf,
samprakfz,kfz,
