prefixed_root,unprefixed_root,hom
Avf,vf,1
Avf,vf,2
Avfj,vfj,
Avft,vft,
AvfD,vfD,
Avfz,vfz,
Avfh,vfh,
Ave,ve,
Ave,i,
Avezw,vezw,
AvyaD,vyaD,
Avye,vye,
Avraj,vraj,
AvraSc,vraSc,
AS,aS,
ASaMs,SaMs,
ASak,Sak,
ASaNk,SaNk,
ASAs,SAs,
ASi,Si,
ASI,SI,
ASuc,Suc,
ASuz,Suz,
ASyE,SyE,
ASri,Sri,
ASrI,SrI,
ASru,Sru,
ASlaT,SlaT,
ASliz,Sliz,
ASvas,Svas,
As,as,
Asac,sac,
AsaYj,saYj,
Asad,sad,
Asan,san,
Asi,si,
Asic,sic,
Asiv,siv,
Asu,su,3
AsU,sU,
Asf,sf,
Asfj,sfj,
Asev,sev,
Askand,skand,
AskaB,skaB,
Asku,sku,
AstuB,stuB,
Astf,stf,
AsTA,sTA,
Aspand,spand,
Aspf,spf,
AsPAy,sPAy,
Asyand,syand,
Asru,sru,
Asvad,svad,
Asvan,svan,
Asvid,svid,
Ahan,han,
Ahary,hary,
Ahi,hi,
AhiMs,hiMs,
Ahu,hu,
Ahf,hf,
Ahfz,hfz,
Ahvf,hvf,
Ahve,hve,
izkf,kf,
uccak,cak,
uccaw,caw,
uccar,car,
uccal,cal,
ucci,ci,
uccumb,cumb,
ucculump,culump,
uccyu,cyu,
ucCaMs,SaMs,
ucCad,Cad,
ucCal,Sal,
ucCAs,SAs,
ucCid,Cid,
ucCiz,Siz,
ucCI,SI,
ucCuc,Suc,
ucCuz,Suz,
ucCraT,SraT,
ucCri,Sri,
ucCvaYc,SvaYc,
ucCvas,Svas,
ucCvi,Svi,
ujjan,jan,
ujjas,jas,
ujjAgf,jAgf,
ujji,ji,
ujjIv,jIv,
ujjfmB,jfmB,
ujjval,jval,
uqqI,qI,
utkand,skand,
utkamp,kamp,
utkal,kal,
utkal,kal,
utkalApaya,kal,
utkaz,kaz,
utkas,kas,
utkAS,kAS,
utkAs,kAs,
utkIl,kIl,
utkuc,kuc,
utkuw,kuw,
utkU,kU,
utkUj,kUj,
utkUrd,kUrd,
utkf,kf,
utkft,kft,
utkft,kft,
utkfz,kfz,
utkF,kF,
utkFt,kFt,
utkxp,kxp,
utkram,kram,
utkruS,kruS,
utkliS,kliS,
utkvaT,kvaT,
utkzip,kzip,
utkzvid,kzvid,
utKac,Kac,
utKan,Kan,
utKid,Kid,
uttakz,takz,
uttan,tan,
uttap,tap,
uttam,tam,
uttamB,stamB,
uttij,tij,
uttu,tu,
uttud,tud,
uttul,tul,
uttfd,tfd,
uttF,tF,
uttras,tras,
utTA,sTA,
utpac,pac,
utpaw,paw,
utpat,pat,
utpad,pad,
utpaS,paS,
utpA,pA,
utpA,pA,
utpIq,pIq,
utpU,pU,
utpF,pF,
utpyE,pyE,
utpru,pru,
utprekz,Ikz,
utplu,plu,
utPal,Pal,
utsad,sad,
utsarj,sarj,
utsah,sah,
utsi,si,
utsic,sic,
utsiD,siD,
utsiv,siv,
utsU,sU,
utsf,sf,
utsfj,sfj,
utsfp,sfp,
utsnA,snA,
utspfS,spfS,
utsmi,smi,
udaj,aj,
udaYc,aYc,
udaYj,aYj,
udan,an,
udapAs,as,
udaBI,i,
udarc,arc,
udard,ard,
udavaso,so,
udaS,aS,1
udas,as,2
udAkf,kf,1
udAgA,gA,1
udAcakz,cakz,
udAcar,car,
udAjan,jan,
udAtan,tan,
udAdA,dA,1
udAdru,dru,2
udAnI,nI,
udAp,Ap,
udAyam,yam,
udAyA,yA,
udAyu,yu,2
udAruh,ruh,
udAvas,vas,5
udAvah,vah,
udAvraj,vraj,
udASaMs,SaMs,
udAs,As,
udAsTA,sTA,
udAhan,han,
udAhf,hf,
udi,i,
udIkz,Ikz,
udIr,Ir,
udIz,Iz,
udukz,ukz,
udubj,ubj,
uduz,uz,
udUh,Uh,1
udf,f,
udfz,fz,2
ude,i,
udej,ej,
udgam,gam,
udgarj,garj,
udgal,gal,
udgA,gA,
udgAh,gAh,
udgur,gur,
udguh,guh,
udgF,gF,
udgE,gE,
udgranT,granT,
udgrah,grah,
udGuz,Guz,
udGfz,Gfz,
uddA,dA,3
uddiS,diS,
uddih,dih,
uddIp,dIp,
udduz,duz,
uddfMh,dfMh,
uddF,dF,
uddyut,dyut,1
uddru,dru,
udDan,han,
udDas,has,
udDA,DA,
udDA,hA,
udDI,DI,
udDU,DU,
udDf,Df,
udDf,hf,
udDfz,hfz,
udDmA,DmA,
udDvaMs,DvaMs,
udDve,hve,
udbanD,banD,
udbAD,bAD,
udbuD,buD,
udbrU,brU,
udBarts,Barts,
udBA,BA,
udBAs,BAs,
udBid,Bid,
udBU,BU,
udBf,Bf,
udBram,Bram,
udyam,yam,
udyA,yA,
udyu,yu,2
udyuj,yuj,
udyuD,yuD,
udraYj,raYj,
udram,ram,
udruc,ruc,
udruD,ruD,2
udvad,vad,
udvaD,vaD,
udvap,vap,2
udvam,vam,
udvas,vas,5
udvah,vah,
udvA,vA,
udvAS,vAS,
udviGuz,Guz,
udvicakz,cakz,
udvij,vij,
udvidF,dF,
udvisfj,sfj,
udvIkz,Ikz,
udvf,vf,
udvfj,vfj,
udvft,vft,
udvfz,vfz,
udvfh,vfh,
udve,ve,
udvep,vep,
udvell,vell,
udvezw,vezw,
udvE,vE,
udvyudas,as,2
udvraj,vraj,
unnad,nad,
unnaB,naB,
unnam,nam,
unnaS,naS,
unnah,nah,
unniDA,DA,
unnI,nI,
unmajj,majj,
unmaT,ma,
unmaTAy,maTAy,
unmad,mad,
unmand,mand,
unmi,mi,
unmiz,miz,
unmI,mI,
unmIl,mIl,
unmuc,muc,
unmud,mud,
unmurC,murC,
unmuz,muz,
unmuh,muh,
unmfj,mfj,
unmfd,mfd,
unmfS,mfS,
upakf,kf,1
upakft,kft,1
upakfz,kfz,1
upakF,kF,
upakxp,kxp,
upakram,kram,
upakrIq,krIq,
upakruS,kruS,
upaklid,klid,
upakzar,kzar,
upakzi,kzi,2
upakzip,kzip,
upagam,gam,
upagA,gA,1
