root,hom,class,voice
simisimAya,,denom,atma
sil,,6,para
siv,,4,para
sImantaya,,denom,para
su,1,1,para
su,2,1,para
su,2,2,para
su,3,5,para
suK,,10,para
suK,,4,para
suKAya,,denom,atma
suww,,10,para
sutIya,,denom,para
suDaya,,denom,para
suB,,9,para
suB,,6,para
suB,,1,para
sumnaya,,denom,para
sumnAya,,denom,para
sur,,6,para
sur,,10,para
suraBaya,,denom,para
suzvaya,,denom,atma
suh,,4,para
sU,1,6,para
sU,2,2,atma
sUc,,10,para
sUtr,,10,para
sUd,1,1,atma
sUr,,4,atma
sUr,,10,atma
sUrkz,,1,para
sUrkzy,,1,para
sUz,,1,para
sf,,1,para
sf,,3,para
sf,,10,para
sfj,1,6,para
sfp,,1,para
sfB,,1,para
sfmB,,1,para
sF,,9,para
sek,,1,atma
senaya,,denom,para
sev,,1,atma
sE,,1,para
so,1,4,para
sowAya,,denom,atma
soQAya,,denom,atma
sODAya,,denom,atma
skand,,1,para
skanD,,10,para
skaB,,5,para
skaB,,9,para
skaB,,1,atma
skamB,,5,para
skamB,,9,para
skamB,,1,atma
sku,,5,para
sku,,9,para
skund,,1,atma
skumB,,5,para
skumB,,9,para
sKad,,1,atma
sKal,,1,para
stak,,1,para
stan,,1,para
stabakaya,,denom,para
staB,,5,para
staB,,9,para
staB,,1,atma
stam,1,1,para
stam,1,10,para
stambakAya,,denom,atma
stamB,,5,para
stamB,,9,para
stamB,,1,atma
stiG,,5,para
stip,,1,atma
stim,,4,para
stimitaya,,denom,para
stIm,,4,para
stu,1,2,para
stuc,,1,atma
stuB,1,1,para
stuB,1,1,atma
stumB,,5,para
stumB,,9,para
stUp,,4,para
stUp,,10,para
stf,1,5,para
stf,1,9,para
stfkz,,1,para
stfh,,6,para
stF,1,5,para
stF,1,9,para
stFh,,6,para
sten,,10,para
step,,1,atma
step,,10,para
stE,,1,para
stotraya,,denom,para
stomaya,,denom,para
styE,,1,para
styE,,1,atma
strIya,,denom,para
sTag,,1,para
sTapuwaya,,denom,para
sTal,,1,para
sTalaya,,denom,para
sTalAya,,denom,atma
sTalIya,1,denom,para
sTavirAya,,denom,atma
sTA,1,1,para
sTir,,1,para
sTiraya,,denom,para
sTirAya,,denom,para
sTuq,,6,para
sTUl,,10,atma
snA,1,2,para
snA,1,4,para
sniw,,10,para
snih,1,4,para
snih,1,1,para
snih,1,10,para
snu,1,2,para
snuc,,1,atma
snus,,4,para
snuh,1,4,para
snE,,1,para
spand,,1,atma
sparD,,1,atma
sparz,,1,atma
spaS,3,1,para
spaS,4,10,para
spazwaya,,denom,para
spf,1,5,para
spfD,,1,atma
spfS,1,6,para
spfh,1,10,para
spF,,9,para
sPaw,,1,para
sPaw,,10,para
sPaRq,,10,para
sPar,,6,para
sPal,,1,para
sPAy,,1,atma
sPiw,,10,para
sPiww,,10,para
sPuw,,6,para
sPuw,,1,para
sPuww,,10,para
sPuq,,6,para
sPuRw,,1,para
sPuRw,,10,para
sPuRq,,1,atma
sPuRq,,10,para
sPur,1,6,para
sPul,,6,para
sPuliNgAya,,denom,atma
sPUrC,,1,para
sPUrj,,1,para
smi,,1,atma
smiw,,10,para
smf,2,1,para
syad,,1,atma
syand,,1,atma
syam,,1,para
syam,,10,para
syam,,10,atma
sraMs,1,1,atma
sraMh,,1,atma
srajaya,,denom,para
sras,1,1,atma
sriD,1,1,para
sriB,,1,para
srimB,,1,para
sriv,,4,para
srIv,,4,para
sru,,1,para
srucaya,,denom,para
srek,,1,atma
srOGnIya,,denom,atma
svaNg,,1,para
svaj,,1,atma
svaYj,,1,atma
svad,,1,atma
svaDaya,,denom,para
svan,1,1,para
svap,1,2,para
svapnAya,,denom,atma
svar,1,10,para
svar,2,1,para
svargaya,,denom,atma
svard,,1,atma
svAd,,1,atma
svApakIya,,denom,para
svApaya,,denom,para
svAya,,denom,atma
svid,2,1,atma
svf,,1,para
haMsAya,,denom,atma
hakkaya,,denom,para
haw,,1,para
haW,,1,para
had,,1,para
han,1,2,para
hananIya,2,denom,para
hamBAya,,denom,atma
hamm,,1,para
hay,,1,para
hariRAya,,denom,atma
haritAya,,denom,atma
hary,,1,para
harzAya,,denom,atma
hal,1,1,para
halaya,,denom,para
has,1,1,para
hA,2,3,atma
hA,3,3,para
hArAya,,denom,atma
hi,1,5,para
hiMs,1,1,para
hiMs,1,7,para
hiMs,1,10,para
hikk,,1,para
hiRq,,1,atma
hitAya,,denom,atma
hindolaya,,denom,para
himAya,,denom,atma
hil,,6,para
hillolaya,,denom,para
hu,1,3,para
huq,,6,para
huq,,1,para
huRq,,1,atma
hurC,,1,para
hul,,1,para
hUq,,1,para
hUrC,,1,para
hf,1,1,para
hf,2,9,atma
hfRIya,,denom,atma
hfz,,1,para
hfz,,4,para
hF,2,9,atma
hew,,1,para
hew,,9,para
heW,,1,para
heW,,9,para
heW,,9,para
heq,,1,atma
heq,,1,para
heQ,,9,para
hemAya,,denom,atma
heL,,1,atma
heL,,1,para
hez,1,1,atma
hezAya,,denom,atma
hoq,,1,atma
hnu,,2,atma
hmal,,1,para
hrag,,1,para
hras,,1,para
hrAd,,1,atma
hriRIya,,denom,atma
hrI,1,3,para
hrIC,,1,para
hru,,9,para
hruq,,1,para
hrUq,,1,para
hrep,,1,atma
hrez,,1,atma
hrOq,,1,para
hlag,,1,atma
hlap,,10,para
hlas,,1,para
hlAd,,1,atma
hval,,1,para
hvAyakIya,,denom,para
hvf,,1,para
hvF,,1,para
hve,,1,para
