stem,stem_genders,form,form_gender,case,number
uBaya,mfn,uBayABis,f,3,p
uBaya,mfn,uBayasyE,f,4,s
uBaya,mfn,uBayAByAm,f,4,d
uBaya,mfn,uBayAByas,f,4,p
uBaya,mfn,uBayasyAs,f,5,s
uBaya,mfn,uBayAByAm,f,5,d
uBaya,mfn,uBayAByas,f,5,p
uBaya,mfn,uBayasyAs,f,6,s
uBaya,mfn,uBayayos,f,6,d
uBaya,mfn,uBayAsAm,f,6,p
uBaya,mfn,uBayasyAm,f,7,s
uBaya,mfn,uBayayos,f,7,d
uBaya,mfn,uBayAsu,f,7,p
uBaya,mfn,uBayA,f,8,s
uBaya,mfn,uBaye,f,8,d
uBaya,mfn,uBayAs,f,8,p
uBaya,mfn,uBayam,n,1,s
uBaya,mfn,uBaye,n,1,d
uBaya,mfn,uBayAni,n,1,p
uBaya,mfn,uBayam,n,2,s
uBaya,mfn,uBaye,n,2,d
uBaya,mfn,uBayAni,n,2,p
uBaya,mfn,uBayena,n,3,s
uBaya,mfn,uBayAByAm,n,3,d
uBaya,mfn,uBayEs,n,3,p
uBaya,mfn,uBayasmE,n,4,s
uBaya,mfn,uBayAByAm,n,4,d
uBaya,mfn,uBayeByas,n,4,p
uBaya,mfn,uBayasmAt,n,5,s
uBaya,mfn,uBayAByAm,n,5,d
uBaya,mfn,uBayeByas,n,5,p
uBaya,mfn,uBayasya,n,6,s
uBaya,mfn,uBayayos,n,6,d
uBaya,mfn,uBayezAm,n,6,p
uBaya,mfn,uBayam,n,7,s
uBaya,mfn,uBaye,n,7,d
uBaya,mfn,uBayAni,n,7,p
uBaya,mfn,uBayam,n,8,s
uBaya,mfn,uBaye,n,8,d
uBaya,mfn,uBayAni,n,8,p
katara,mfn,kataras,m,1,s
katara,mfn,katarO,m,1,d
katara,mfn,katare,m,1,p
katara,mfn,kataram,m,2,s
katara,mfn,katarO,m,2,d
katara,mfn,katarAn,m,2,p
katara,mfn,katareRa,m,3,s
katara,mfn,katarAByAm,m,3,d
katara,mfn,katarEs,m,3,p
katara,mfn,katarasmE,m,4,s
katara,mfn,katarAByAm,m,4,d
katara,mfn,katareByas,m,4,p
katara,mfn,katarasmAt,m,5,s
katara,mfn,katarAByAm,m,5,d
katara,mfn,katareByas,m,5,p
katara,mfn,katarasya,m,6,s
katara,mfn,katarayos,m,6,d
katara,mfn,katarezAm,m,6,p
katara,mfn,katarasmin,m,7,s
katara,mfn,katarayos,m,7,d
katara,mfn,katarezu,m,7,p
katara,mfn,kataras,m,8,s
katara,mfn,katarO,m,8,d
katara,mfn,katare,m,8,p
katara,mfn,katarA,f,1,s
katara,mfn,katare,f,1,d
katara,mfn,katarAs,f,1,p
katara,mfn,katarAm,f,2,s
katara,mfn,katare,f,2,d
katara,mfn,katarAs,f,2,p
katara,mfn,katarayA,f,3,s
katara,mfn,katarAByAm,f,3,d
katara,mfn,katarABis,f,3,p
katara,mfn,katarasyE,f,4,s
katara,mfn,katarAByAm,f,4,d
katara,mfn,katarAByas,f,4,p
katara,mfn,katarasyAs,f,5,s
katara,mfn,katarAByAm,f,5,d
katara,mfn,katarAByas,f,5,p
katara,mfn,katarasyAs,f,6,s
katara,mfn,katarayos,f,6,d
katara,mfn,katarAsAm,f,6,p
katara,mfn,katarasyAm,f,7,s
katara,mfn,katarayos,f,7,d
katara,mfn,katarAsu,f,7,p
katara,mfn,katarA,f,8,s
katara,mfn,katare,f,8,d
katara,mfn,katarAs,f,8,p
katara,mfn,katarat,n,1,s
katara,mfn,katare,n,1,d
katara,mfn,katarARi,n,1,p
katara,mfn,katarat,n,2,s
katara,mfn,katare,n,2,d
katara,mfn,katarARi,n,2,p
katara,mfn,katareRa,n,3,s
katara,mfn,katarAByAm,n,3,d
katara,mfn,katarEs,n,3,p
katara,mfn,katarasmE,n,4,s
katara,mfn,katarAByAm,n,4,d
katara,mfn,katareByas,n,4,p
katara,mfn,katarasmAt,n,5,s
katara,mfn,katarAByAm,n,5,d
katara,mfn,katareByas,n,5,p
katara,mfn,katarasya,n,6,s
katara,mfn,katarayos,n,6,d
katara,mfn,katarezAm,n,6,p
katara,mfn,kataram,n,7,s
katara,mfn,katare,n,7,d
katara,mfn,katarARi,n,7,p
katara,mfn,kataram,n,8,s
katara,mfn,katare,n,8,d
katara,mfn,katarARi,n,8,p
yatara,mfn,yataras,m,1,s
yatara,mfn,yatarO,m,1,d
yatara,mfn,yatare,m,1,p
yatara,mfn,yataram,m,2,s
yatara,mfn,yatarO,m,2,d
yatara,mfn,yatarAn,m,2,p
yatara,mfn,yatareRa,m,3,s
yatara,mfn,yatarAByAm,m,3,d
yatara,mfn,yatarEs,m,3,p
yatara,mfn,yatarasmE,m,4,s
yatara,mfn,yatarAByAm,m,4,d
yatara,mfn,yatareByas,m,4,p
yatara,mfn,yatarasmAt,m,5,s
yatara,mfn,yatarAByAm,m,5,d
yatara,mfn,yatareByas,m,5,p
yatara,mfn,yatarasya,m,6,s
yatara,mfn,yatarayos,m,6,d
yatara,mfn,yatarezAm,m,6,p
yatara,mfn,yatarasmin,m,7,s
yatara,mfn,yatarayos,m,7,d
yatara,mfn,yatarezu,m,7,p
yatara,mfn,yataras,m,8,s
yatara,mfn,yatarO,m,8,d
yatara,mfn,yatare,m,8,p
yatara,mfn,yatarA,f,1,s
yatara,mfn,yatare,f,1,d
yatara,mfn,yatarAs,f,1,p
yatara,mfn,yatarAm,f,2,s
yatara,mfn,yatare,f,2,d
yatara,mfn,yatarAs,f,2,p
yatara,mfn,yatarayA,f,3,s
yatara,mfn,yatarAByAm,f,3,d
yatara,mfn,yatarABis,f,3,p
yatara,mfn,yatarasyE,f,4,s
yatara,mfn,yatarAByAm,f,4,d
yatara,mfn,yatarAByas,f,4,p
